BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,1,2,18,2,1,4,10.8,2,383.52
1,2017,1,2,18,3,1,4,10.8,2,371.52
1,2017,1,2,19,0,1,4,10.8,2,341.76
1,2017,1,2,19,1,1,4,10.8,2,349.44
1,2017,1,2,19,2,1,4,10.8,2,312.0
1,2017,1,2,19,3,1,4,10.8,2,306.72
1,2017,1,2,20,0,1,4,10.8,2,302.88
1,2017,1,2,20,1,1,4,10.8,2,301.92
1,2017,1,2,20,2,1,4,10.8,2,295.68
1,2017,1,2,20,3,1,4,10.8,2,278.88
1,2017,1,2,21,0,1,4,10.8,2,268.32
1,2017,1,2,21,1,1,4,10.8,2,252.48
1,2017,1,2,21,2,1,4,10.8,2,240.0
1,2017,1,2,21,3,1,4,10.8,2,224.16
1,2017,1,2,22,0,1,4,10.8,2,222.72
1,2017,1,2,22,1,1,4,10.8,2,209.76
1,2017,1,2,22,2,1,4,10.8,2,206.88
1,2017,1,2,22,3,1,4,10.8,2,204.96
1,2017,1,2,23,0,1,4,10.8,2,203.52
1,2017,1,2,23,1,1,4,10.8,2,205.92
1,2017,1,2,23,2,1,4,10.8,2,200.64
1,2017,1,2,23,3,1,4,10.8,2,196.32
1,2017,1,2,24,0,1,4,10.8,2,178.56
1,2017,1,3,0,1,2,4,9.2,1,171.84
1,2017,1,3,0,2,2,4,9.2,1,168.0
1,2017,1,3,0,3,2,4,9.2,1,167.52
1,2017,1,3,1,0,2,4,9.2,1,183.84
1,2017,1,3,1,1,2,4,9.2,1,172.8
1,2017,1,3,1,2,2,4,9.2,1,170.4
1,2017,1,3,1,3,2,4,9.2,1,171.84
1,2017,1,3,2,0,2,4,9.2,1,187.68
1,2017,1,3,2,1,2,4,9.2,1,169.92
1,2017,1,3,2,2,2,4,9.2,1,171.36
1,2017,1,3,2,3,2,4,9.2,1,172.32
1,2017,1,3,3,0,2,4,9.2,1,188.64
1,2017,1,3,3,1,2,4,9.2,1,177.6
1,2017,1,3,3,2,2,4,9.2,1,177.6
1,2017,1,3,3,3,2,4,9.2,1,182.88
1,2017,1,3,4,0,2,4,9.2,1,183.36
1,2017,1,3,4,1,2,4,9.2,1,173.76
1,2017,1,3,4,2,2,4,9.2,1,172.8
1,2017,1,3,4,3,2,4,9.2,1,175.68
1,2017,1,3,5,0,2,4,9.2,1,186.24
1,2017,1,3,5,1,2,4,9.2,1,197.28
1,2017,1,3,5,2,2,4,9.2,1,202.08
1,2017,1,3,5,3,2,4,9.2,1,202.56
1,2017,1,3,6,0,2,4,9.2,1,198.72
1,2017,1,3,6,1,2,4,9.2,1,194.4
1,2017,1,3,6,2,2,4,9.2,1,205.44
1,2017,1,3,6,3,2,4,9.2,1,202.08
1,2017,1,3,7,0,2,4,9.2,1,261.12
1,2017,1,3,7,1,2,4,9.2,1,544.8
1,2017,1,3,7,2,2,4,9.2,1,597.6
1,2017,1,3,7,3,2,4,9.2,1,593.28
1,2017,1,3,8,0,2,4,9.2,1,610.56
1,2017,1,3,8,1,2,4,9.2,1,629.28
1,2017,1,3,8,2,2,4,9.2,1,641.76
1,2017,1,3,8,3,2,4,9.2,1,710.88
1,2017,1,3,9,0,2,4,9.2,1,730.08
1,2017,1,3,9,1,2,4,9.2,1,709.92
1,2017,1,3,9,2,2,4,9.2,1,756.96
1,2017,1,3,9,3,2,4,9.2,1,719.04
1,2017,1,3,10,0,2,4,9.2,1,702.24
1,2017,1,3,10,1,2,4,9.2,1,684.48
1,2017,1,3,10,2,2,4,9.2,1,684.96
1,2017,1,3,10,3,2,4,9.2,1,678.72
1,2017,1,3,11,0,2,4,9.2,1,625.44
1,2017,1,3,11,1,2,4,9.2,1,563.52
1,2017,1,3,11,2,2,4,9.2,1,552.0
1,2017,1,3,11,3,2,4,9.2,1,561.12
1,2017,1,3,12,0,2,4,9.2,1,552.0
1,2017,1,3,12,1,2,4,9.2,1,489.6
1,2017,1,3,12,2,2,4,9.2,1,453.12
1,2017,1,3,12,3,2,4,9.2,1,464.16
1,2017,1,3,13,0,2,4,9.2,1,448.8
1,2017,1,3,13,1,2,4,9.2,1,506.88
1,2017,1,3,13,2,2,4,9.2,1,516.96
1,2017,1,3,13,3,2,4,9.2,1,548.64
1,2017,1,3,14,0,2,4,9.2,1,537.12
1,2017,1,3,14,1,2,4,9.2,1,501.6
1,2017,1,3,14,2,2,4,9.2,1,507.36
1,2017,1,3,14,3,2,4,9.2,1,500.16
1,2017,1,3,15,0,2,4,9.2,1,486.72
1,2017,1,3,15,1,2,4,9.2,1,474.24
1,2017,1,3,15,2,2,4,9.2,1,506.4
1,2017,1,3,15,3,2,4,9.2,1,482.88
1,2017,1,3,16,0,2,4,9.2,1,484.8
1,2017,1,3,16,1,2,4,9.2,1,487.68
1,2017,1,3,16,2,2,4,9.2,1,480.48
1,2017,1,3,16,3,2,4,9.2,1,496.32
